dataset,tbx_sample_id,external_sample_id,dhash_distance,review_status,exclusion_applied
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0004_0.png,shenzhen:CHNCXR_0004_0,0,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0010_0.png,shenzhen:CHNCXR_0010_0,1,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0011_0.png,shenzhen:CHNCXR_0011_0,0,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0019_0.png,shenzhen:CHNCXR_0019_0,0,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0020_0.png,shenzhen:CHNCXR_0020_0,1,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0025_0.png,shenzhen:CHNCXR_0025_0,0,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0026_0.png,shenzhen:CHNCXR_0026_0,1,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0033_0.png,shenzhen:CHNCXR_0033_0,1,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0034_0.png,shenzhen:CHNCXR_0034_0,4,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0038_0.png,shenzhen:CHNCXR_0038_0,2,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0041_0.png,shenzhen:CHNCXR_0041_0,2,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0043_0.png,shenzhen:CHNCXR_0043_0,1,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0052_0.png,shenzhen:CHNCXR_0052_0,0,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0053_0.png,shenzhen:CHNCXR_0053_0,0,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0055_0.png,shenzhen:CHNCXR_0055_0,0,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0057_0.png,shenzhen:CHNCXR_0057_0,0,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0059_0.png,shenzhen:CHNCXR_0059_0,2,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0060_0.png,shenzhen:CHNCXR_0060_0,0,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0062_0.png,shenzhen:CHNCXR_0062_0,1,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0064_0.png,shenzhen:CHNCXR_0064_0,0,pending_review,no
shenzhen,tbx11k:extra/mc+shenzhen/train/CHNCXR_0068_0.png,shenzhen:CHNCXR_0068_0,0,pending_review,no
