dataset,dhash_distance,external_sample_id,tbx_sample_id
montgomery,1,montgomery:MCUCXR_0004_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0004_0.png
montgomery,0,montgomery:MCUCXR_0023_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0023_0.png
montgomery,0,montgomery:MCUCXR_0027_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0027_0.png
montgomery,0,montgomery:MCUCXR_0028_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0028_0.png
montgomery,0,montgomery:MCUCXR_0029_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0029_0.png
montgomery,0,montgomery:MCUCXR_0038_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0038_0.png
montgomery,0,montgomery:MCUCXR_0041_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0041_0.png
montgomery,0,montgomery:MCUCXR_0042_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0042_0.png
montgomery,1,montgomery:MCUCXR_0043_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0043_0.png
montgomery,3,montgomery:MCUCXR_0044_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0044_0.png
montgomery,0,montgomery:MCUCXR_0048_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0048_0.png
montgomery,0,montgomery:MCUCXR_0051_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0051_0.png
montgomery,2,montgomery:MCUCXR_0055_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0055_0.png
montgomery,1,montgomery:MCUCXR_0056_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0056_0.png
montgomery,0,montgomery:MCUCXR_0061_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0061_0.png
montgomery,1,montgomery:MCUCXR_0063_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0063_0.png
montgomery,0,montgomery:MCUCXR_0069_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0069_0.png
montgomery,1,montgomery:MCUCXR_0071_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0071_0.png
montgomery,1,montgomery:MCUCXR_0074_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0074_0.png
montgomery,1,montgomery:MCUCXR_0081_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0081_0.png
montgomery,1,montgomery:MCUCXR_0097_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0097_0.png
montgomery,0,montgomery:MCUCXR_0099_0,tbx11k:extra/mc+shenzhen/train/MCUCXR_0099_0.png
montgomery,1,montgomery:MCUCXR_0104_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0104_1.png
montgomery,0,montgomery:MCUCXR_0162_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0162_1.png
montgomery,1,montgomery:MCUCXR_0173_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0173_1.png
montgomery,2,montgomery:MCUCXR_0196_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0196_1.png
montgomery,0,montgomery:MCUCXR_0243_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0243_1.png
montgomery,1,montgomery:MCUCXR_0275_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0275_1.png
montgomery,3,montgomery:MCUCXR_0294_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0294_1.png
montgomery,1,montgomery:MCUCXR_0311_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0311_1.png
montgomery,0,montgomery:MCUCXR_0338_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0338_1.png
montgomery,0,montgomery:MCUCXR_0350_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0350_1.png
montgomery,1,montgomery:MCUCXR_0352_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0352_1.png
montgomery,3,montgomery:MCUCXR_0369_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0369_1.png
montgomery,2,montgomery:MCUCXR_0375_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0375_1.png
montgomery,6,montgomery:MCUCXR_0399_1,tbx11k:extra/mc+shenzhen/train/MCUCXR_0399_1.png
montgomery,4,montgomery:MCUCXR_0006_0,tbx11k:extra/mc+shenzhen/val/MCUCXR_0006_0.png
montgomery,1,montgomery:MCUCXR_0011_0,tbx11k:extra/mc+shenzhen/val/MCUCXR_0011_0.png
montgomery,0,montgomery:MCUCXR_0016_0,tbx11k:extra/mc+shenzhen/val/MCUCXR_0016_0.png
montgomery,2,montgomery:MCUCXR_0019_0,tbx11k:extra/mc+shenzhen/val/MCUCXR_0019_0.png
montgomery,3,montgomery:MCUCXR_0020_0,tbx11k:extra/mc+shenzhen/val/MCUCXR_0020_0.png
montgomery,0,montgomery:MCUCXR_0021_0,tbx11k:extra/mc+shenzhen/val/MCUCXR_0021_0.png
montgomery,0,montgomery:MCUCXR_0022_0,tbx11k:extra/mc+shenzhen/val/MCUCXR_0022_0.png
montgomery,0,montgomery:MCUCXR_0026_0,tbx11k:extra/mc+shenzhen/val/MCUCXR_0026_0.png
montgomery,0,montgomery:MCUCXR_0030_0,tbx11k:extra/mc+shenzhen/val/MCUCXR_0030_0.png
montgomery,1,montgomery:MCUCXR_0035_0,tbx11k:extra/mc+shenzhen/val/MCUCXR_0035_0.png
montgomery,2,montgomery:MCUCXR_0040_0,tbx11k:extra/mc+shenzhen/val/MCUCXR_0040_0.png
