dataset,dhash_distance,external_sample_id,tbx_sample_id
shenzhen,0,shenzhen:CHNCXR_0004_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0004_0.png
shenzhen,1,shenzhen:CHNCXR_0010_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0010_0.png
shenzhen,0,shenzhen:CHNCXR_0011_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0011_0.png
shenzhen,0,shenzhen:CHNCXR_0019_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0019_0.png
shenzhen,1,shenzhen:CHNCXR_0020_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0020_0.png
shenzhen,0,shenzhen:CHNCXR_0025_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0025_0.png
shenzhen,1,shenzhen:CHNCXR_0026_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0026_0.png
shenzhen,1,shenzhen:CHNCXR_0033_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0033_0.png
shenzhen,4,shenzhen:CHNCXR_0034_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0034_0.png
shenzhen,2,shenzhen:CHNCXR_0038_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0038_0.png
shenzhen,2,shenzhen:CHNCXR_0041_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0041_0.png
shenzhen,1,shenzhen:CHNCXR_0043_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0043_0.png
shenzhen,0,shenzhen:CHNCXR_0052_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0052_0.png
shenzhen,0,shenzhen:CHNCXR_0053_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0053_0.png
shenzhen,0,shenzhen:CHNCXR_0055_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0055_0.png
shenzhen,0,shenzhen:CHNCXR_0057_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0057_0.png
shenzhen,2,shenzhen:CHNCXR_0059_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0059_0.png
shenzhen,0,shenzhen:CHNCXR_0060_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0060_0.png
shenzhen,1,shenzhen:CHNCXR_0062_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0062_0.png
shenzhen,0,shenzhen:CHNCXR_0064_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0064_0.png
shenzhen,0,shenzhen:CHNCXR_0068_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0068_0.png
shenzhen,2,shenzhen:CHNCXR_0075_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0075_0.png
shenzhen,1,shenzhen:CHNCXR_0085_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0085_0.png
shenzhen,1,shenzhen:CHNCXR_0089_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0089_0.png
shenzhen,0,shenzhen:CHNCXR_0095_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0095_0.png
shenzhen,0,shenzhen:CHNCXR_0099_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0099_0.png
shenzhen,1,shenzhen:CHNCXR_0110_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0110_0.png
shenzhen,3,shenzhen:CHNCXR_0113_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0113_0.png
shenzhen,4,shenzhen:CHNCXR_0127_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0127_0.png
shenzhen,2,shenzhen:CHNCXR_0128_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0128_0.png
shenzhen,1,shenzhen:CHNCXR_0132_0,tbx11k:extra/mc+shenzhen/train/CHNCXR_0132_0.png
